cell,V_kV,Wsyn_MeV,Wout_pred_MeV,Wout_transoptr_MeV,dW_pred_MeV,dW_transoptr_MeV,Sig0T_deg,Sig0L_deg,A01,A10,Phi_deg,a_cm,m,B,L_cm,Z_cm,k_cm_inv,status
17,55.2,0.05080059660439072,0.05383409773556204,0.05383409773556204,0.0030335011311713204,0.003033501131171318,386.6195263107387,17.416949018617814,6.071875435467409,0.055304026732134776,-83.55704697986577,0.38926174496644295,1.0859060402684564,3.1073825503355703,0.9628154780807461,13.860518426424075,3.2629228809783686,mock_ok
18,55.2,0.05383409773556204,0.05711098053683008,0.05711098053683008,0.003276882801268043,0.00327688280126804,385.4650174035861,18.102162305282878,6.061417979027466,0.059790069366952144,-83.15436241610738,0.38859060402684564,1.0912751677852348,3.1140939597315436,0.9911430118413548,14.851661438265431,3.169666350926808,mock_ok
19,55.2,0.05711098053683008,0.060636316774607485,0.060636316774607485,0.0035253362377774054,0.003525336237777406,384.3229399739129,18.775878775113046,6.0509630460792865,0.06437926448167318,-82.75167785234899,0.38791946308724834,1.0966442953020135,3.120805369127517,1.0208602055334481,15.87252164379888,3.077397509043034,mock_ok
20,55.2,0.060636316774607485,0.0644144762220189,0.0644144762220189,0.0037781594474114223,0.0037781594474114166,383.1931190665014,19.437488128385883,6.040508226385273,0.06905972809363904,-82.3489932885906,0.38724832214765104,1.1020134228187919,3.12751677852349,1.0518932040990707,16.92441484789795,2.986607995324502,mock_ok
21,55.2,0.0644144762220189,0.06844910674895921,0.06844910674895921,0.004034630526940309,0.004034630526940308,382.0753831488305,20.08638973768136,6.030052986501387,0.07381919549178032,-81.94630872483222,0.38657718120805373,1.1073825503355705,3.134228187919463,1.08416571955696,18.00858056745491,2.897705209562974,mock_ok
22,55.2,0.06844910674895921,0.07274313498304924,0.07274313498304924,0.004294028234090036,0.00429402823409003,380.9695640288104,20.722037144282016,6.019598356352471,0.07864539007153294,-81.54362416107382,0.3859060402684564,1.112751677852349,3.140939597315436,1.1176000776043342,19.126180645059243,2.8110168534741424,mock_ok
23,55.2,0.07274313498304924,0.07729878422251496,0.07729878422251496,0.004555649239465723,0.00455564923946572,379.87549677488715,21.343966921511385,6.009146616197819,0.08352633341287552,-81.14093959731544,0.38523489932885907,1.1181208053691276,3.1476510067114094,1.1521182261510055,20.27829887121025,2.726797113595903,mock_ok
24,55.2,0.07729878422251496,0.08211760598207403,0.08211760598207403,0.004818821759559074,0.004818821759559069,378.793019638443,21.951814867019706,5.998701000183182,0.0884505910195152,-80.73825503355705,0.38456375838926177,1.123489932885906,3.1543624161073827,1.187642664049101,21.46594153525935,2.645233914786266,mock_ok
25,55.2,0.08211760598207403,0.08720052156298204,0.08720052156298204,0.005082915580908016,0.0050829155809080095,377.72197397841137,22.54532231064354,5.988265427764141,0.09340745369944016,-80.33557046979865,0.38389261744966446,1.1288590604026845,3.1610738255033555,1.224097260544402,22.69003879580375,2.566456730891309,mock_ok
26,55.2,0.08720052156298204,0.09254787028839369,0.09254787028839369,0.005347348725411645,0.005347348725411649,376.662204188036,23.124335072411583,5.977844269689997,0.09838705889137983,-79.93288590604027,0.3832214765100671,1.1342281879194631,3.1677852348993287,1.261407947972949,23.9514467437767,2.4905445210157855,mock_ok
27,55.2,0.09254787028839369,0.09815946145595535,0.09815946145595535,0.005611591167561655,0.005611591167561658,375.61355762370334,23.68879728386744,5.967442151331913,0.10338045915716922,-79.53020134228188,0.3825503355704698,1.1395973154362415,3.174496644295302,1.2995032809051528,25.250950024681853,2.417533452783248,mock_ok
28,55.2,0.09815946145595535,0.10403462755602975,0.10403462755602975,0.005875166100074413,0.005875166100074408,374.5758845357782,24.23874192295139,5.957063793105841,0.1083796466339928,-79.12751677852349,0.3818791946308725,1.1449664429530202,3.1812080536912752,1.338314863683609,26.589264888365463,2.347424166644014,mock_ok
29,55.2,0.10403462755602975,0.11017227682342433,0.11017227682342433,0.006137649267394576,0.006137649267394574,373.54903800138015,24.77427954027034,5.9467138856075055,0.11337754268819877,-78.7248322147651,0.3812080536912752,1.1503355704697986,3.1879194630872485,1.3777776547396654,27.96704254310513,2.2801884199402296,mock_ok
30,55.2,0.11017227682342433,0.11657094368670563,0.11657094368670563,0.006398666863281303,0.006398666863281305,372.5328738590347,25.295586301331902,5.9363969957564136,0.11836796162626109,-78.32214765100672,0.3805369127516779,1.1557046979865773,3.1946308724832213,1.4178301603426042,29.384872703447733,2.215775021199055,mock_ok
31,55.2,0.11657094368670563,0.12322883612232942,0.12322883612232942,0.006657892435623789,0.006657892435623786,371.5272506451412,25.802892154996478,5.926117499593308,0.12334555639174455,-77.91946308724832,0.37986577181208053,1.1610738255033557,3.2013422818791946,1.4584145327996754,30.84328723624741,2.154115022125411,mock_ok
32,55.2,0.12322883612232942,0.1301438792952778,0.1301438792952778,0.006915043172948376,0.0069150431729483736,370.53202953219653,26.296469673605195,5.915879537226968,0.12830575296378952,-77.51677852348993,0.37919463087248323,1.1664429530201343,3.208053691275168,1.4994765889079467,32.34276382515536,2.09512617724681,mock_ok
33,55.2,0.1301438792952778,0.13731375516917335,0.13731375516917335,0.007169875873895548,0.007169875873895559,369.54707426872096,26.776623898272813,5.9056869856224115,0.13324467887267652,-77.11409395973155,0.3785234899328859,1.1718120805369128,3.214765100671141,1.5409657641226866,33.88372958927805,2.0387167104769435,mock_ok
34,55.2,0.13731375516917335,0.14473593799995935,0.14473593799995935,0.007422182830785992,0.007422182830785995,368.57225112082875,27.24368336107655,5.89554344532957,0.13815908999734083,-76.71140939597315,0.3778523489932886,1.1771812080536912,3.221476510067114,1.582835016798015,35.46656460607606,1.98478844620525,mock_ok
35,55.2,0.14473593799995935,0.15240772579575454,0.15240772579575454,0.007671787795795192,0.007671787795795193,367.6074288153943,27.697992338426253,5.885452237765476,0.14304629869071347,-76.30872483221476,0.37718120805369126,1.1825503355704698,3.228187919463087,1.6250406952802514,37.09160530135631,1.9332393722287675,mock_ok
36,55.2,0.15240772579575454,0.16032626794116492,0.16032626794116492,0.007918542145410391,0.007918542145410379,366.6524784847617,28.139904309379574,5.875416410207616,0.14790410533191986,-75.90604026845638,0.37651006711409396,1.1879194630872483,3.2348993288590604,1.6675423788523875,38.7591476802087,1.8839657051186043,mock_ok
37,55.2,0.16032626794116492,0.16848858925740978,0.16848858925740978,0.008162321316244874,0.008162321316244864,365.70727361294837,28.569776541381756,5.8654387461820185,0.15273073463944029,-75.50335570469798,0.37583892617449666,1.193288590604027,3.2416107382550337,1.7103027017249777,40.469450381933676,1.8368635273868448,mock_ok
38,55.2,0.16848858925740978,0.17689161080975055,0.17689161080975055,0.008403021552340769,0.008403021552340767,364.77168998329887,28.987965696717612,5.855521779407553,0.1575247774864577,-75.1006711409396,0.37516778523489935,1.1986577181208053,3.248322147651007,1.7532871675582689,42.222737549491946,1.7918300616806317,mock_ok
39,55.2,0.17689161080975055,0.18553216778934095,0.18553216778934095,0.008640556979590397,0.008640556979590402,363.8456056275403,29.394824339652715,5.845667809874625,0.16228513851754894,-74.69798657718121,0.37449664429530205,1.204026845637584,3.2550335570469797,1.7964639604109685,44.01920150990291,1.748764641441015,mock_ok
40,55.2,0.18553216778934095,0.1944070247949285,0.1944070247949285,0.008874857005587532,0.008874857005587544,362.9289007761982,29.79069822207518,5.835878920985192,0.16701098955251112,-74.29530201342281,0.3738255033557047,1.2093959731543624,3.261744966442953,1.8398037566881464,45.85900526659106,1.7075694307989744,mock_ok
41,55.2,0.1944070247949285,0.20351288882640806,0.20351288882640806,0.009105864031479552,0.00910586403147956,362.02145781032897,30.175924230219614,5.826156996967969,0.17170172854978932,-73.89261744966443,0.3731543624161074,1.214765100671141,3.2684563758389262,1.883279541463888,47.74228480805495,1.668149939731097,mock_ok
42,55.2,0.20351288882640806,0.2128464202815233,0.2128464202815233,0.00933353145511527,0.009333531455115257,361.1231612145306,30.55082888419767,5.816503740010439,0.1763569437689892,-73.48993288590604,0.3724832214765101,1.2201342281879195,3.2751677852348995,1.9268664316194224,49.66915123967437,1.6304153739133138,mock_ok
43,55.2,0.2128464202815233,0.22240424222225522,0.22240424222225522,0.009557821940731905,0.009557821940731903,360.2338975311907,30.915727293291848,5.806920686727781,0.18097638269707142,-73.08724832214764,0.3718120805369128,1.225503355704698,3.2818791946308723,1.970541507448197,51.63969274712257,1.594278852648011,mock_ok
44,55.2,0.22240424222225522,0.23218294815099966,0.23218294815099966,0.00977870592874444,0.009778705928744441,359.3535553159337,31.270922481987064,5.797409223725247,0.18555992527079576,-72.68456375838926,0.3711409395973154,1.2308724832214766,3.2885906040268456,2.01428365376518,53.65397640088775,1.559657522771136,mock_ok
45,55.2,0.23218294815099966,0.24217910851013952,0.24217910851013952,0.00999616035913985,0.00999616035913986,358.4820250942335,31.616705013552327,5.7879706021127495,0.19010756092530237,-72.28187919463087,0.3704697986577181,1.236241610738255,3.295302013422819,2.0580734110730123,55.71204981196076,1.526472591641845,mock_ok
